title,link,price,rating,num_reviews
"TABWEE T60 Android 16 Tablet with Keyboard, 12.2 Inch QHD+ Display (1600x2400), 48GB RAM 256GB ROM, 10000mAh Battery, 4G Tablet with SIM Card Slot, 16MP Camera, Gemini AI, GPS (4-Year Warranty）",/-/en/TABWEE-T60-Keyboard-1600x2400-Warranty%EF%BC%89/dp/B0FVL67HHY,SAR 999.99,4.7,(116) 
"Samsung Galaxy Tab A11+, 27.82 cm (11 inch) Display, 8 GB RAM, 256 GB Storage, 90Hz Refresh Rate, AI with Google Gemini, Dolby Atmos, Quad Speakers, Wi-Fi + 5G Tablet | International Version (Gray)",/-/en/Samsung-Display-Storage-Speakers-International/dp/B0G1C5TGDS,"SAR 1,274.00",4.4,(111) 
"Xiaomi Pad 7 8+ 256GB Mi Tablet, Display 12.1 Inches, Standby Time up to 33.9 Days, Blue",/-/en/Xiaomi-Tablet-Display-Inches-Standby/dp/B0F4254MG1,"SAR 1,298.00",3.9,(18) 
"TABWEE T80 Android 15 Touch Tablet - 18GB+128GB (2TB TF Expandable), 10-inch Tablet, 6000mAh Battery, 5MP Camera, Gemini AI 3.1 Pro, 5G WiFi, GPS, Face ID, Tablet with Keyboard, Mouse, Case & Stylus | Android 15 tablet 10 inches, 6000 mAh, 5MP + 2MP, supports Gemini AI, 5G WiFi, GPS, Face ID",/-/en/TABWEE-T80-Android-Touch-Tablet/dp/B0F9SKGRRT,SAR 899.99,4.4,(289) 
"Lenovo Tab One with Clear Case, 9"" HD (1340x800) IPS 480nits Anti-fingerprint, Touch display, MediaTek Helio G85 processor, 4GB RAM, 128GB, Android 14 - [ZAF00123AE], Luna Grey",/-/en/Lenovo-1340x800-Anti-fingerprint-MediaTek-processor/dp/B0FG1NN154,SAR 575.00,4.4,(30) 
"HUAWEI MatePad 11.5 S (2026) Tablet, Ultra-Clear PaperMatte Display, 12GB + 256GB, 8800 mAh Battery, 40W SuperCharge, inbox Detachable Keyboar, Green, Amazon-Exclusive 12-Month Care+",/-/en/HUAWEI-Ultra-Clear-PaperMatte-SuperCharge-Amazon-Exclusive/dp/B0G52MP7XN,"SAR 1,799.00",3.6,(6) 
Redmi Pad 2 9.7 Graphite Gray 4GB RAM 128GB WiFi Inbox Cover - Global Version,/-/en/Redmi-Graphite-128GB-Inbox-Cover/dp/B0GXZQMJRB,SAR 629.00,,
"XIAOMI Pad 7 8+ 256GB Mi Tablet, Display 11.2 Inches, Standby Time up to 33.9 Days, Colour: Gray",/-/en/XIAOMI-Tablet-Display-Inches-Standby/dp/B0DY6PMT6D,"SAR 1,641.71",4.6,(159) 
"HONOR Pad 10 WiFi Tablet 12.1 Inch 120Hz 2.5K HONOR Eye Comfort Display 256 GB/8 GB RAM 10100 mAh Tablet, 4nm Snapdragon 7 Gen 3 with 6 Speakers, AI Efficiency, Android 15+ Bluetooth, Grey",/-/en/HONOR-Snapdragon-Speakers-Efficiency-Bluetooth/dp/B0FC2TF8MP,"SAR 1,454.00",4.5,(59) 
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (KSA Version)",/-/en/Samsung-Android-Anti-reflection-Included-Moonstone/dp/B0DJD3W51Q,"SAR 3,164.44",4.6,(86) 
"Samsung Galaxy Tab S10 Lite, 6GB RAM, 128GB, 2TB Expand, Long Battery Life, 10.9” LCD, S Pen for Note-Taking, Exynos 1380, Circle to Search, AI Tools, Gray",/-/en/Samsung-Galaxy-Expand-Battery-Note-Taking/dp/B0FF5JJ3CP,"SAR 1,842.30",4.6,(789) 
"10 Inch Android 13 Tablet 12GB RAM+128GB ROM/1TB Expandable Tablet, 2024 Newest 2 in 1 Tablet with Keyboard Case, Mouse Pen, Quad-Core CPU 2.0",/-/en/Android-Tablet-Expandable-Keyboard-Quad-Core/dp/B0CGWTH8YH,SAR 392.02,4.1,(1.9K) 
"Samsung Galaxy Tab A11, LTE, Android Tablet, Silver, 8GB RAM, 128GBB Storage, 8.7"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5TMJKV,SAR 829.00,4.1,(15) 
Lenovo Idea Tab Tablet | 11 Inch 2.5K 16:10 LCD Display | MediaTek Dimensity 6300 | 8GB RAM | 128GB Memory | Android 15 | Luna Grey | Includes Tab Pen,/-/en/Lenovo-Idea-Tablet-Inch-2-5K/dp/B0F5X1Q29N,SAR 899.00,4.5,(1.1K) 
"Apple iPad Air 11-inch (M4): Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 7 with Apple N1, Touch ID, All-Day Battery Life — Space Grey",/-/en/Apple-iPad-Air-11-inch-M4/dp/B0GQVBJ3KT,"SAR 3,499.00",4.5,(29) 
Lenovo Tab One Tablet | 8.7 Inch 1340 x 800 LCD Display | MediaTek Helio G85 | 4GB RAM | 64GB Memory | Android 14 | Luna Grey | Includes Folio Case,/-/en/Lenovo-Tab-One-Display-MediaTek/dp/B0F5WZRFFT,SAR 398.48,3.8,(212) 
"TABWEE 2026 Upgrade K10 Android 16 Kids Tablet 10 Inch, 12 GB + 64 GB, Google Kids Space, Tablet for Kids with Parental Controls, WiFi 6, Widevine L1, Tablet with Shockproof Case – Pink",/-/en/TABWEE-K10-Parental-Controls-Shockproof/dp/B0FGPXKXZN,SAR 479.98,4.3,(158) 
"Samsung Galaxy Tab A11+, 5G, Android Tablet, Silver, 8GB RAM, 256GB Storage, 11"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBCFDXD,"SAR 1,493.00",4.1,(11) 
"HONOR Pad X9a LTE Tablet 11.5"" 120Hz Display, 8GB RAM + 128GB Storage, Snapdragon 685, 8300mAh Battery, 35W Fast Charging, Stylus Support, Grey, Android 15, (2025 Model)",/-/en/HONOR-Display-Storage-Snapdragon-Charging/dp/B0F54TX745,"SAR 1,127.25",4.4,(48) 
"Tablet,10.1"" Android Tablet 8GB RAM 256GB ROM HD 1280x800 IPS Touchscreen,Dual SIM Card Slots,Dual Band WiFi,GMS,BT 5.0,Dual Camera (Gold)",/-/en/SVMAN-Tablet-Android-1280x800-Touchscreen/dp/B0GCRGNTM6,SAR 428.88,2.1,(3) 
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6 + 5G Cellular, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Pink",/-/en/Apple-iPad-11-inch-Display-Cellular/dp/B0DZ782GK9,"SAR 2,599.00",4.3,(34) 
"Dell 12.3"" Latitude 7200 Multi-Touch 2-in-1 Laptop - 12.3"" FHD AG - 1.9GHz Intel Core i7-8665U Quad-Core - 16GB RAM | 256GB SSD - Win10 pro - Keyboard Included (Renewed)",/-/en/Dell-Latitude-7200-Multi-Touch-Laptop/dp/B09P89DJG3,"SAR 1,656.00",,
"AGM PAD P2 Tablet Android 14,16(8+8) GB RAM+256GB ROM(2TB TF), Helio G99 Gaming Tablet with Case,4G Dual SIM, 5GHz WiFi, 7850mAh, 50MP+8MP/BT5.2/GPS/Type C/ 1920 * 1200 FHD Display/Compass",/-/en/AGM-PAD-P2-Android-7850mAh/dp/B0F53F93H3,SAR 759.00,3.8,(125) 
"Lenovo Tab, 10-inch, LUNA GREY, MediaTek® G85 OC 2.0GHz, 4GB Ram, 128GB Storage, WIFI, 5100 mAh Battery, TB311FU,with Clear Case, ZAEH0045SA",/-/en/Lenovo-10-inch-MediaTek%C2%AE-TB311FU-ZAEH0045SA/dp/B0DQQ8LLJY,SAR 724.00,4.3,(21) 
